Common Name(s),Scientific Name,Distribution,Tree Size,Average Dried Weight,Janka Hardness,Modulus of Rupture,Elastic Modulus,Crushing Strength,Shrinkage,Rot Resistance,Workability,Common Uses
monterey cypress,cupressusmacrocarpa,endemic to central coast of california; cultivated throughout north america and europe,"50-82 ft (15-25 m) tall, 2-3 ft (.6-1 m) trunk diameter",32 lbs/ft3 (515 kg/m3),"620 lbf (2,750 n)","11,770 lbf/in2 (81.2 mpa)","1,133,000 lbf/in2 (7.81 gpa)","5,710 lbf/in2 (39.4 mpa)"," radial 3.5%, tangential 6.3%, volumetric 8.5%, t/r ratio 1.8",rated as moderately durable; mixed resistance to insect attack.," overall easy to work with hand and machine tools, though areas around knots can be problematic. reportedly difficult to steam bend. glues, stains, and finishes well."," utility lumber, fence posts, musical instruments (flamenco guitars), furniture, boatbuilding, and turned objects."
<span><span>dalmata</span></span>,<span><span>cynometra</span> <span>spruceana</span> (commonly mislabeled as <span>swartzia</span></span><span><span>arborescens</span>)</span>,south america,no data available,"64 lbs/ft3(1,030 kg/m3)","2,620 lbf(11,640 n)*",no data available,no data available,no data available,no data available, no data available.," reported to be difficult to work, though it turns well."," turned objects, boxes, knife handles, and other small specialty wood items."
"lemonwood, degame",calycophyllum candidissimum,cuba and central america,"40-80 ft (12-24 m) tall, 1-2 ft (.3-.6 m) trunk diameter",51 lbs/ft3 (810 kg/m3),"1,880 lbf (8,350 n)","22,100 lbf/in2 (152.4 mpa)","2,284,000 lbf/in2 (15,75 gpa)","9,790 lbf/in2 (67.5 mpa)"," radial 4.8%, tangential 8.6%, volumetric 13.2%, t/r ratio 1.8", mixed reports depending on type of decay fungi; usually rated as moderately durable. excellent resistance to marine borers.," overall working properties are fair, though dry wood is reported to have a high cutting resistance. lemonwood turns, glues, and finishes well."," archery bows, carvings, turned objects, and fishing rods."
"deglupta, kamarere,mindanao gum",eucalyptus deglupta,southeast asia (also grown on plantations throughout tropics),"100-200 ft (30-60 m) tall, 3-6 ft (1.2-1.8 m) trunk diameter",31 lbs/ft3 (500 kg/m3),"650 lbf (2,880 n)","11,550 lbf/in2 (79.6 mpa)","1,565,000 lbf/in2 (10.79 gpa)","6,780 lbf/in2 (46.7 mpa)"," radial 3.8%, tangential 8.5%, volumetric 15.5%, t/r ratio 2.2",rated as non-durable; poor insect resistance.,"generally easy to work with hand or machine tools, though tearout is common on quartersawn surfaces due to the strongly interlocked grain. glues and finishes well.","paper (pulpwood), veneer, furniture, and millwork."
" dogwood, flowering dogwood", cornus florida, eastern north america," 30-40 ft (9-12 m) tall, 1-1.3 ft (.3-.4 m) trunk diameter", 51 lbs/ft3 (815 kg/m3)," 2,150 lbf (9,560 n)"," 16,720 lbf/in2 (115.3 mpa)"," 1,922,000 lbf/in2 (13.26 gpa)","8,740 lbf/in2 (60.3 mpa)"," radial 7.1%, tangential 11.3%, volumetric 19.9%, t/r ratio 1.6"," since there tends to be very little heartwood, dogwood is usually composed entirely of sapwood, which is considered non-durable to perishable. alsosusceptibleto insect attack."," despite it's high density and interlocked grain, dogwood tends to produce decent results with both hand and machine tools, though it can have a blunting effect on cutters. glues, turns, and finishes well."," golf club heads, textile shuttles, bows (archery), mallets, pulleys, and turned objects."
 douglas-fir, pseudotsuga menziesii, western north america," 200-250 ft (60-75 m) tall, 5-6 ft (1.5-2 m) trunk diameter",  32 lbs/ft3 (510 kg/m3)," 620 lbf (2,760 n)"," 12,500 lbf/in2 (86.2 mpa)","  1,765,000 lbf/in2 (12.17 gpa)"," 6,950 lbf/in2 (47.9 mpa)"," radial 4.5%, tangential 7.3%, volumetric 11.6%, t/r ratio 1.6"," douglas-fir heartwood is rated to be moderately durable in regard to decay, but is susceptible to insect attack."," typically machines well, but has a moderate blunting effect on cutters. accepts stains, glues, and finishes well."," veneer, plywood, and structural/construction lumber."
" afzelia, doussie", afzelia spp., africa and southeast asia," 80-120 ft (25-37 m) tall, 3-5 ft (1-1.5 m) trunk diameter",50 lbs/ft3 (805 kg/m3)," 1,810 lbf (8,050 n)"," 17,740 lbf/in2 (122.3 mpa)","2,094,000 lbf/in2 (14.44 gpa)"," 10,750 lbf/in2 (74.1 mpa)"," radial 2.3%, tangential 3.9%, volumetric 6.3%, t/r ratio 1.7"," rated as very durable. moderately resistant to termites, and variously resistant/susceptible to other insect attacks."," generally considered somewhat difficult to work on account of its interlocked grain, causing tearout during machining operations. afzelia also has a pronounced dulling effect on cutters. gluing and finishing can be variable, and some species contain water-soluble yellow deposits in the pores which can pose challenges in staining or finishing with water-based products."," furniture,cabinetry, veneer, flooring, docks, boatbuilding, exterior millwork and construction, turned objects, inlays, and other small specialty wood items."
"ebiara, berlinia, poculi, red zebrawood","berlinia spp. (b. auriculata, b.bracteosa, b.confusa, and b. grandiflora)",west africa,"100-130 ft (30-40 m) tall, 3-5 ft (1-1.5 m) trunk diameter",45 lbs/ft3 (725 kg/m3),"1,280 lbf (5,690 n)","15,890 lbf/in2 (109.6 mpa)","1,616,000 lbf/in2 (11.14 gpa)","8,040 lbf/in2 (55.4 mpa)"," radial 4.7%, tangential 8.7%, volumetric 13.2%, t/r ratio 1.9","varies with species, but is generally rated as moderately durable; good insect resistance, though sapwood is vulnerable to ambrosia and powder post beetles.","generally easy to work with hand or machine tools, though planing or surfacing interlocked grain may result in tearout, particularly on quartersawn surfaces. glues, turns, and finishes well.","veneer, furniture, cabinetry, turned objects, and other small speciality wood items."
" gaboon ebony, african ebony, nigerian ebony, cameroon ebony", diospyros crassiflora, equatorial west africa," 50-60 ft (15-18 m) tall, 2-3 ft (.6-1 m) trunk diameter", 60 lbs/ft3 (955 kg/m3)," 3,080 lbf (13,700 n)"," 22,930 lbf/in2 (158.1 mpa)","  2,449,000 lbf/in2 (16.89 gpa)"," 11,060 lbf/in2 (76.3 mpa)"," radial 8.3%, tangential 11.2%, volumetric 19.6%, t/r ratio 1.3"," ebony is rated as being very durable, with good resistance to termites and other insects."," can be difficult to work due to its extremely high density. has a dulling effect on cutters. tearout may occur on pieces that have interlocked or irregular grain. due to the high oil content found in this wood, it can occasionally cause problems with gluing.finishes well, and polishes to a high luster. responds well to steam bending."," small/ornamental items, such as piano keys, musical instrument parts, pool cues, carvings, and other small specialty items."
" black and white ebony, pale moon ebony"," diospyros malabarica (syn. diospyros embryopteris, d. peregrina)",laos and southeast asia,"50-115 ft (15-35 m) tall, 1-3 ft (.3-1 m) trunk diameter",51lbs/ft3 (825 kg/m3),"1,780lbf(7,920 n)", no data available, no data available, no data available,no data available," reported to be very durable;moderate insect/borer resistance, though portions of the wood commonly have insect holes present."," generally works and turns well, though pieces can be difficult to dry without checking.","turned objects, inlay, and other small wood projects."
" brown ebony, guayacan"," caesalpinia spp. (c. granadillo, c. paraguariensis, c.pluviosa)", semi-arid regions of south america," 30-50 ft (10-15 m) tall, 2-3 ft (.6-1.0 m) trunk diameter"," 72 lbs/ft3 (1,160 kg/m3)"," 3,590 lbf (15,970 n)","22,910 lbf/in2(158.0 mpa)*","2,712,000 lbf/in2(18.70 gpa)*","11,790 lbf/in2(81.3 mpa)*"," radial 4.5%, tangential 7.7%, volumetric 12.7%, t/r ratio 1.7"," rated as very durable, thoughsusceptibleto insect attack."," generally difficult to work on account of its highdensityand irregular grain. brown ebony is well suited to lathe work, and turns and finishes well.", primarily for turned objects; also used for heavy constructionwithinits natural range.
" ceylon ebony, east indian ebony", diospyros ebenum, southeast asia," 50-80 ft (15-25 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 57 lbs/ft3 (915 kg/m3)," 2,430 lbf (10,790 n)"," 18,650 lbf/in2 (128.6 mpa)"," 2,040,000 lbf/in2 (14.07 gpa)"," 9,210 lbf/in2 (63.5 mpa)"," radial 5.4%, tangential 8.8%, volumetric 14.3%, t/r ratio 1.6", portions of black heartwood are very durable regarding decay resistance.," overall difficult to work on account of its density and strong blunting effect on cutting edges. can be difficult to dry, with checks or other drying defects developing. can be difficult to glue. ebony turns superbly, and takes a very high natural polish."," inlay, carving, musical instrument parts (piano keys, bridges, nuts, etc.), and turnedobjects."
" ceylon ebony, east indian ebony", diospyros ebenum, southeast asia," 50-80 ft (15-25 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 57 lbs/ft3 (915 kg/m3)," 2,430 lbf (10,790 n)"," 18,650 lbf/in2 (128.6 mpa)"," 2,040,000 lbf/in2 (14.07 gpa)"," 9,210 lbf/in2 (63.5 mpa)"," radial 5.4%, tangential 8.8%, volumetric 14.3%, t/r ratio 1.6", portions of black heartwood are very durable regarding decay resistance.," overall difficult to work on account of its density and strong blunting effect on cutting edges. can be difficult to dry, with checks or other drying defects developing. can be difficult to glue. ebony turns superbly, and takes a very high natural polish."," inlay, carving, musical instrument parts (piano keys, bridges, nuts, etc.), and turnedobjects."
" gaboon ebony, african ebony, nigerian ebony, cameroon ebony", diospyros crassiflora, equatorial west africa," 50-60 ft (15-18 m) tall, 2-3 ft (.6-1 m) trunk diameter", 60 lbs/ft3 (955 kg/m3)," 3,080 lbf (13,700 n)"," 22,930 lbf/in2 (158.1 mpa)","  2,449,000 lbf/in2 (16.89 gpa)"," 11,060 lbf/in2 (76.3 mpa)"," radial 8.3%, tangential 11.2%, volumetric 19.6%, t/r ratio 1.3"," ebony is rated as being very durable, with good resistance to termites and other insects."," can be difficult to work due to its extremely high density. has a dulling effect on cutters. tearout may occur on pieces that have interlocked or irregular grain. due to the high oil content found in this wood, it can occasionally cause problems with gluing.finishes well, and polishes to a high luster. responds well to steam bending."," small/ornamental items, such as piano keys, musical instrument parts, pool cues, carvings, and other small specialty items."
" macassar ebony, striped ebony", diospyros celebica, southeast asia," 50-65 ft (15-20m) tall, 1.5 ft (.4 m) trunk diameter","70 lbs/ft3 (1,120 kg/m3)"," 3,220 lbf (14,140 n)","22,790 lbf/in2 (157.2 mpa)"," 2,515,000 lbf/in2 (17.35 gpa)"," 11,630 lbf/in2 (80.2 mpa)",no data available, heartwood is rated as very durable; poorinsect/borer resistance.," tends to be rather difficult to work, due to its high density, blunting effect on cutters, and its occasionally interlocked grain. the wood is also prone to checking and splitting during drying, and drying defects are not uncommon. the wood is excellent for turned objects."," veneer, high-end cabinetry, billiard cues, musical instruments, and other small specialty items."
"mun ebony, vietnamese ebony",diospyros mun,laos and vietnam,"reported to be a small, slow-growing tree","67 lbs/ft3 (1,065 kg/m3)","3,000 lbf (13,350 n)",no data available,no data available,no data available,no data available, no data available.," difficult to work due to its high density. as with other ebonies, mun ebony may present difficulties in gluing. turns and finishes superbly.","inlay, carvings, veneer, and turned objects."
" black and white ebony, pale moon ebony"," diospyros malabarica (syn. diospyros embryopteris, d. peregrina)",laos and southeast asia,"50-115 ft (15-35 m) tall, 1-3 ft (.3-1 m) trunk diameter",51lbs/ft3 (825 kg/m3),"1,780lbf(7,920 n)", no data available, no data available, no data available,no data available," reported to be very durable;moderate insect/borer resistance, though portions of the wood commonly have insect holes present."," generally works and turns well, though pieces can be difficult to dry without checking.","turned objects, inlay, and other small wood projects."
 texas ebony, ebenopsis ebano, southern texas and eastern mexico," 20-30 ft (6-9 m) tall, 1-2 ft (.3-.6 m) trunk diameter",60 lbs/ft3 (965 kg/m3)," 2,820 lbf (12,560 n)","22,090 lbf/in2 (152.3 mpa)","2,398,000 lbf/in2 (16.54 gpa)","10,740 lbf/in2 (74.1 mpa)",no available data, reported to be very durable regarding decay resistance.," can be difficult to work on account of its density, but turns superbly, and able to take a very high natural polish."," knife handles, inlay, finefurniture, turned objects, and other small, specialty wood items."
" persimmon, white ebony", diospyros virginiana, eastern united states," 60-80 ft (18-24 m) tall, 1-2 ft (.3-.6 m) trunk diameter", 52 lbs/ft3 (835 kg/m3)," 2,300 lbf (10,230 n)"," 17,700 lbf/in2 (122.1 mpa)"," 2,010,000 lbf/in2 (13.86 gpa)"," 9,170 lbf/in2 (63.2 mpa)"," radial 7.9%, tangential 11.2%, volumetric 19.1%, t/r ratio 1.4"," being that nearly all of persimmon is sapwood, it is rated as perishable and issusceptibleto insect attack."," overall workability is so-so. persimmon generally responds well to hand tools, but can be difficult to plane and blunts cutting edges faster than expected. turns and finishes well."," turned objects, golf club heads, veneer, and other small specialty wood items."
" ekki, azobe", lophira alata, west africa," 100-150 ft (30-46 m) tall, 5-6 ft (1.5-1.8 m) trunk diameter","66lbs/ft3 (1,065 kg/m3)"," 3,220 lbf (14,330 n)"," 28,390 lbf/in2 (195.8 mpa)"," 2,754,000 lbf/in2 (18.99 gpa)"," 13,890 lbf/in2 (95.8 mpa)"," radial 8.0%, tangential 11.1%, volumetric 18.3%, t/r ratio 1.4"," rated as very durable, with good resistance to insect attacks. good weathering characteristics."," difficult to work on account of its density and interlocked grain, which can cause tearout. ekki also has a pronounced blunting effect on cutting edges.  gluing can also pose problems due to its density and oil content."," bridges, boatbuilding, marine applications, decking, and flooring."
" american elm, soft elm, water elm", ulmus americana, eastern to midwest united states,"65-100 ft (20-30 m) tall, 2-3 ft (.6-1 m) trunk diameter", 35 lbs/ft3 (560 kg/m3)," 830 lbf (3,690 n)"," 11,800 lbf/in2 (81.4 mpa)","  1,340,000 lbf/in2 (9.24 gpa)"," 5,520 lbf/in2 (38.1 mpa)"," radial 4.2%, tangential 9.5%, volumetric 14.6%, t/r ratio 2.3",rated as non-durable; susceptible to insect attack. living trees are susceptible to dutch elm disease.,"can be a challenge to work because of interlocked grain, especially on quartersawn surfaces. planing can cause tearout and/or fuzzy surfaces. poor dimensional stability. glues, stains, and finishes well. responds well to steam bending, and holds nails and screws well."," boxes, baskets, furniture, hockey sticks, veneer, wood pulp, and papermaking."
